id,edad,califica_presidente,califica_gobernador,distance_km,RBC,JDM,Nose,Ninguno,VGH,Tina,NSE,DF
917,40,10,2,7.218833496,0,1,0,0,0,0,C-,3
915,37,10,1,7.219996199,0,1,0,0,0,0,C-,3
468,62,10,6,9.889494027,0,0,1,0,0,0,E,4
502,30,10,10,7.601662742,0,1,0,0,0,0,A/B,4
699,60,10,1,12.68729521,0,0,0,1,0,0,A/B,4
688,43,10,10,12.86621209,0,1,0,0,0,0,C,4
698,26,10,10,12.77610768,0,0,0,1,0,0,C+,4
694,44,10,5,12.90379477,1,0,0,0,0,0,C,4
700,33,10,7,12.77270035,0,1,0,0,0,0,C+,4
695,55,10,1,12.90178862,0,1,0,0,0,0,C,4
832,42,10,10,10.24823518,0,1,0,0,0,0,N/D,4
470,41,10,7,9.973977784,0,1,0,0,0,0,E,4
513,42,10,10,11.13551214,1,0,0,0,0,0,C,4
845,43,10,9,10.39128863,0,1,0,0,0,0,C+,4
846,29,10,6,10.39168164,0,1,0,0,0,0,C+,4
833,40,10,10,10.20740304,1,0,0,0,0,0,C+,4
811,61,10,8,10.63723064,0,0,0,1,0,0,D+,4
804,55,10,10,10.84402455,0,1,0,0,0,0,A/B,4
802,77,10,10,10.84528839,0,0,1,0,0,0,A/B,4
682,38,10,8,11.78575695,0,1,0,0,0,0,N/D,4
681,42,10,5,11.77646235,0,1,0,0,0,0,N/D,4
500,25,10,5,11.72967051,0,1,0,0,0,0,N/D,4
872,50,10,4,12.56979377,0,0,0,1,0,0,N/D,4
873,62,10,5,12.58686544,0,0,0,1,0,0,N/D,4
883,65,10,8,12.58686544,0,1,0,0,0,0,N/D,4
895,79,10,10,12.64134192,0,0,1,0,0,0,N/D,4
572,40,10,5,5.182092025,0,1,0,0,0,0,N/D,4
806,35,10,6,8.104159796,0,1,0,0,0,0,N/D,3
296,21,7,7,178.8128283,0,1,0,0,0,0,D+,1
126,52,7,8,16.32005151,0,1,0,0,0,0,C-,5
163,33,8,9,16.46037148,0,0,0,0,1,0,C,5
184,64,8,7,153.3430365,0,0,1,0,0,0,E,1
444,67,8,8,7.055907354,1,0,0,0,0,0,D+,6
445,47,6,7,7.053450593,1,0,0,0,0,0,D+,6
265,36,1,9,76.41092886,1,0,0,0,0,0,D+,5
552,55,5,10,4.896021026,1,0,0,0,0,0,C+,4
649,61,9,1,3.99209118,0,1,0,0,0,0,C+,6
650,45,8,8,4.057153445,0,1,0,0,0,0,C+,6
628,72,8,1,6.194122915,1,0,0,0,0,0,D+,3
618,55,9,8,6.157329868,1,0,0,0,0,0,D+,3
905,45,7,10,5.578816782,1,0,0,0,0,0,A/B,4
898,73,1,7,5.608535179,0,0,0,1,0,0,A/B,4
899,28,5,8,5.797553147,1,0,0,0,0,0,C+,4
900,59,1,3,5.826668352,0,0,0,1,0,0,C+,4
546,70,5,8,5.964669329,1,0,0,0,0,0,A/B,4
92,23,8,8,37.4151536,1,0,0,0,0,0,C-,2
568,59,7,9,6.434606258,1,0,0,0,0,0,C+,4
543,68,5,8,5.910215047,1,0,0,0,0,0,C+,4
127,20,9,7,16.37913759,0,1,0,0,0,0,C-,5
145,54,9,7,63.9273502,0,0,0,1,0,0,C+,5
656,72,8,6,5.14693986,0,0,0,1,0,0,C,6
192,18,8,5,153.5625821,0,1,0,0,0,0,E,1
218,48,5,5,153.6145118,0,0,1,0,0,0,E,1
844,35,9,4,3.003851253,0,1,0,0,0,0,D+,3
249,62,6,9,76.36407295,1,0,0,0,0,0,C,5
862,73,5,10,2.88776909,1,0,0,0,0,0,C,3
254,25,8,8,76.37834919,0,1,0,0,0,0,C,5
268,41,6,10,178.6557253,1,0,0,0,0,0,N/D,1
456,63,6,10,5.832049685,1,0,0,0,0,0,C+,6
865,44,4,10,8.049562801,1,0,0,0,0,0,C,4
859,33,7,8,8.169297001,0,0,1,0,0,0,C,4
866,48,3,6,8.072526929,0,0,1,0,0,0,C,4
443,29,8,10,7.05034305,1,0,0,0,0,0,N/D,6
512,33,7,7,6.372536087,1,0,0,0,0,0,A/B,4
121,38,8,9,16.21148105,1,0,0,0,0,0,C-,5
533,58,7,1,6.716261715,0,0,1,0,0,0,A/B,6
530,42,5,1,6.781130561,0,0,1,0,0,0,C-,6
528,38,8,9,6.777395971,1,0,0,0,0,0,C-,6
529,28,5,1,6.776429048,0,0,1,0,0,0,C-,6
531,42,7,4,6.814111335,0,0,1,0,0,0,C-,6
259,70,9,8,76.45385686,0,1,0,0,0,0,D+,5
131,52,8,5,16.32871092,0,0,0,1,0,0,C-,5
459,49,9,8,5.980707118,0,1,0,0,0,0,C+,6
460,38,7,10,6.018851623,1,0,0,0,0,0,C-,6
462,57,2,8,6.002187271,1,0,0,0,0,0,C-,6
288,50,9,7,178.6438953,0,1,0,0,0,0,N/D,1
605,19,9,8,5.4370526,0,0,1,0,0,0,A/B,6
603,46,9,6,5.29188697,0,1,0,0,0,0,C+,6
622,72,6,8,5.291517367,1,0,0,0,0,0,C,6
619,61,7,8,5.231149281,1,0,0,0,0,0,C+,6
483,77,7,7,6.247914264,1,0,0,0,0,0,A/B,4
485,61,8,6,6.239461552,0,0,1,0,0,0,A/B,4
486,99,8,7,6.240496428,1,0,0,0,0,0,A/B,4
205,52,9,10,153.5248079,1,0,0,0,0,0,E,1
308,50,5,9,91.26849514,1,0,0,0,0,0,C,5
9,99,9,9,35.23542883,1,0,0,0,0,0,C,2
675,22,7,8,11.68441437,1,0,0,0,0,0,C+,4
651,22,9,9,11.73788088,1,0,0,0,0,0,C-,4
652,27,8,10,11.74655174,0,0,1,0,0,0,C,4
680,36,8,8,11.7393846,0,1,0,0,0,0,C,4
659,25,8,7,11.73855792,0,1,0,0,0,0,C,4
670,29,8,9,11.73875534,1,0,0,0,0,0,C,4
679,48,9,9,11.76118282,0,0,0,0,0,1,C,4
678,35,7,7,11.75936261,0,0,1,0,0,0,C,4
549,40,7,9,9.820413421,1,0,0,0,0,0,C,4
137,36,9,10,16.33024023,0,1,0,0,0,0,C-,5
541,53,9,8,9.948292859,0,1,0,0,0,0,D+,4
551,62,9,8,9.902148287,0,0,0,1,0,0,D+,4
561,31,9,9,8.983648929,0,1,0,0,0,0,C-,4
564,36,3,7,9.162598958,0,0,0,1,0,0,C,4
565,46,9,9,9.157332215,0,1,0,0,0,0,C,4
582,39,9,7,7.389747225,0,0,1,0,0,0,C+,4
589,21,8,7,7.74302742,1,0,0,0,0,0,C-,4
918,25,9,10,7.182743093,0,1,0,0,0,0,C-,3
916,22,9,1,7.186242333,0,1,0,0,0,0,C-,3
501,30,8,9,7.586789811,0,1,0,0,0,0,A/B,4
685,70,8,9,12.90129745,0,0,1,0,0,0,C,4
689,49,9,5,12.90489394,1,0,0,0,0,0,C,4
696,62,1,5,12.78142431,1,0,0,0,0,0,A/B,4
686,35,5,9,12.83416202,1,0,0,0,0,0,C+,4
693,70,5,5,12.89921136,0,0,0,1,0,0,C,4
724,29,7,7,12.84902697,0,0,0,0,1,0,C,4
725,27,4,8,12.84545203,1,0,0,0,0,0,C,4
723,23,9,1,12.83399758,0,0,1,0,0,0,C,4
808,32,9,8,8.078734963,0,1,0,0,0,0,N/D,3
514,39,4,9,11.13819189,1,0,0,0,0,0,D+,4
842,40,5,5,10.39923394,0,0,0,1,0,0,C+,4
499,58,7,7,11.63761743,1,0,0,0,0,0,N/D,4
669,48,1,5,11.81868282,0,0,0,1,0,0,N/D,4
614,67,9,5,6.085895376,0,1,0,0,0,0,N/D,3
828,20,9,9,10.180445,0,1,0,0,0,0,N/D,4
835,40,4,8,10.29510689,1,0,0,0,0,0,N/D,4
593,99,8,8,7.67380533,0,0,0,1,0,0,N/D,4
658,45,1,10,11.82248564,1,0,0,0,0,0,N/D,4
805,25,7,8,8.13179816,0,1,0,0,0,0,N/D,3
809,34,7,7,8.119522103,1,0,0,0,0,0,N/D,3
492,56,1,8,11.71586982,1,0,0,0,0,0,N/D,4
665,26,7,6,11.82713816,0,0,0,1,0,0,N/D,4
807,48,6,10,8.145732846,1,0,0,0,0,0,N/D,3
812,34,8,8,8.08955396,0,0,1,0,0,0,N/D,3
841,36,7,8,10.19662022,1,0,0,0,0,0,N/D,4
836,49,1,10,10.28091804,1,0,0,0,0,0,N/D,4
838,70,1,1,10.24942933,0,0,1,0,0,0,N/D,4
239,18,9,8,153.6455813,0,0,0,0,1,0,D,1
416,48,8,10,8.096673286,0,0,0,0,0,1,D,6
278,20,9,8,178.7011134,0,0,0,1,0,0,D,1
64,56,9,5,26.81855233,0,0,0,1,0,0,D,5
108,57,7,7,16.42067461,0,0,0,1,0,0,D,5
819,57,5,5,7.848762514,0,0,0,1,0,0,D,3
753,24,3,6,6.190790153,0,0,0,1,0,0,D,3
912,44,9,10,7.832001817,0,0,0,1,0,0,D,3
466,78,9,10,9.755524583,0,0,0,1,0,0,D,4
747,68,6,5,15.6714547,0,0,0,1,0,0,D,4
875,33,1,9,12.4549644,0,0,0,1,0,0,D,4
17,62,9,9,26.63207474,0,1,0,0,0,0,D,5
270,18,8,8,178.7031414,0,1,0,0,0,0,D,1
294,20,8,5,178.7248876,0,0,1,0,0,0,D,1
27,75,6,3,35.15138967,0,1,0,0,0,0,D,2
1,72,9,7,26.62145737,1,0,0,0,0,0,D,5
38,73,8,6,35.24673404,0,1,0,0,0,0,D,2
18,21,7,9,26.63433943,0,1,0,0,0,0,D,5
76,39,8,8,26.62406303,1,0,0,0,0,0,D,5
72,26,5,9,26.85816038,0,0,1,0,0,0,D,5
80,22,8,8,37.36417167,0,1,0,0,0,0,D,2
431,36,9,9,7.036561177,0,0,1,0,0,0,D,6
405,32,9,8,7.051003017,1,0,0,0,0,0,D,6
189,25,9,9,153.5703023,0,1,0,0,0,0,D,1
427,30,9,9,6.910761466,1,0,0,0,0,0,D,6
241,48,5,8,76.36330219,0,1,0,0,0,0,D,5
415,44,9,9,8.070603785,0,0,1,0,0,0,D,6
413,54,6,8,7.887899773,1,0,0,0,0,0,D,6
434,64,9,8,8.048794104,0,1,0,0,0,0,D,6
303,41,9,9,91.43384998,1,0,0,0,0,0,D,5
313,75,5,7,91.33476169,0,1,0,0,0,0,D,5
315,40,1,6,91.26366514,1,0,0,0,0,0,D,5
341,52,7,5,151.7289559,1,0,0,0,0,0,D,1
342,38,9,9,151.7305938,0,1,0,0,0,0,D,1
362,37,9,9,151.9443009,0,1,0,0,0,0,D,1
648,50,4,3,4.129033709,1,0,0,0,0,0,D,6
684,21,7,5,4.393807802,0,0,1,0,0,0,D,6
627,55,8,8,5.986200037,1,0,0,0,0,0,D,3
114,52,8,8,37.31340581,0,1,0,0,0,0,D,2
129,30,8,8,16.42194968,0,1,0,0,0,0,D,5
178,58,8,8,63.91190201,0,1,0,0,0,0,D,5
194,58,8,8,153.710159,1,0,0,0,0,0,D,1
864,22,8,7,2.905998311,0,0,1,0,0,0,D,3
813,34,6,6,7.840841678,0,0,1,0,0,0,D,3
817,39,9,3,7.77790844,0,0,1,0,0,0,D,3
311,49,9,10,91.4544983,1,0,0,0,0,0,D,5
337,83,7,8,152.0721362,0,0,1,0,0,0,D,1
771,24,8,9,8.260794909,0,1,0,0,0,0,D,3
355,29,9,7,151.7612005,0,1,0,0,0,0,D,1
151,31,1,5,64.85264891,0,0,1,0,0,0,D,5
177,59,9,8,64.85708968,0,0,1,0,0,0,D,5
504,30,9,9,7.770948764,0,0,1,0,0,0,D,4
506,32,1,5,7.728047422,1,0,0,0,0,0,D,4
515,35,5,8,7.774816931,1,0,0,0,0,0,D,4
874,18,7,7,3.076459029,0,1,0,0,0,0,D,3
208,50,8,8,153.23168,1,0,0,0,0,0,D,1
220,27,9,6,153.6665506,0,1,0,0,0,0,D,1
794,45,8,5,8.20356522,0,0,1,0,0,0,D,3
44,58,6,1,35.18672771,0,0,1,0,0,0,D,2
219,20,6,7,153.7005409,1,0,0,0,0,0,D,1
