id,sexo,edad,califica_presidente,califica_gobernador,distance_Km,nse,candidatos_gober_3,df
502,H,30,10,10,7.601662742,A/B,JDM,4
696,H,62,1,5,12.78142431,A/B,RBC,4
723,M,23,9,1,12.83399758,C,Otro,4
795,H,45,10,9,8.260573777,D,JDM,3
796,H,38,1,8,8.221962896,D,RBC,3
789,M,57,10,1,8.33939537,D,JDM,3
797,H,19,8,7,8.320237657,D,JDM,3
785,M,22,8,8,8.302524202,D,RBC,3
790,M,52,10,10,8.355966326,D,RBC,3
463,M,81,8,8,9.897160724,D,RBC,4
481,M,63,10,7,10.06940092,D,JDM,4
802,H,77,10,10,10.84528839,A/B,Otro,4
745,M,62,10,1,15.64600504,D,JDM,4
884,H,60,10,2,12.44477366,D,Otro,4
875,M,33,1,9,12.4549644,D,Otro,4
876,M,36,5,5,12.4218386,D,Otro,4
765,H,38,10,1,11.13006556,D,Otro,4
614,H,67,9,5,6.085895376,N/D,JDM,3
682,H,38,10,8,11.78575695,N/D,JDM,4
681,H,42,10,5,11.77646235,N/D,JDM,4
492,H,56,1,8,11.71586982,N/D,RBC,4
572,H,40,10,5,5.182092025,N/D,JDM,4
665,H,26,7,6,11.82713816,N/D,Otro,4
806,M,35,10,6,8.104159796,N/D,JDM,3
807,M,48,6,10,8.145732846,N/D,RBC,3
812,H,34,8,8,8.08955396,N/D,Otro,3
841,M,36,7,8,10.19662022,N/D,RBC,4
836,M,49,1,10,10.28091804,N/D,RBC,4
838,H,70,1,1,10.24942933,N/D,Otro,4
691,M,40,9,9,5.08765727,D,RBC,6
902,H,26,10,5,5.567035746,C+,Otro,4
544,M,51,6,9,5.983027255,C+,RBC,4
569,H,57,5,7,6.42166316,A/B,Otro,4
634,H,61,6,10,4.722492568,C-,RBC,6
636,H,60,10,6,4.68582774,C-,JDM,6
644,M,40,9,9,5.432734341,D,Otro,6
714,H,68,10,7,4.62857363,D,JDM,6
717,M,36,9,5,4.674849068,D,JDM,6
925,H,58,10,8,5.775854017,C-,JDM,3
475,H,65,10,6,6.92982233,A/B,JDM,4
472,H,60,7,10,7.017542343,A/B,RBC,4
474,M,41,8,6,6.963988407,A/B,Otro,4
476,M,37,6,10,6.882737721,C+,RBC,4
493,H,55,7,9,6.841770196,C+,RBC,4
496,H,68,5,8,6.778603864,C+,RBC,4
597,H,68,6,10,5.227530712,C+,RBC,6
484,M,45,10,7,6.233420742,A/B,JDM,4
487,H,61,8,8,6.301667871,A/B,Otro,4
573,H,65,10,5,5.270536883,A/B,RBC,4
578,M,54,10,6,4.689264588,C-,JDM,4
672,M,48,5,9,11.57498839,C+,RBC,4
676,H,32,8,8,11.58507219,C+,Otro,4
671,H,36,3,8,11.69169929,C+,RBC,4
547,M,53,8,10,9.795660464,C,RBC,4
548,H,48,7,10,9.803391858,C,RBC,4
535,M,43,10,8,9.820696022,D+,JDM,4
562,M,30,10,7,9.218410735,C-,JDM,4
571,M,29,8,7,9.001227022,C-,JDM,4
566,H,45,5,7,9.137512865,C,RBC,4
592,H,54,4,9,7.690337508,D+,RBC,4
588,H,69,6,6,7.242754581,C+,Otro,4
583,H,22,8,9,7.356847312,C,JDM,4
509,H,21,9,9,11.14087092,D+,RBC,4
687,H,29,9,10,12.84694349,C,JDM,4
709,H,28,3,8,12.73398224,A/B,RBC,4
760,M,27,5,1,15.53363252,D,Otro,4
767,M,32,10,1,11.14252998,D,JDM,4
798,H,46.62189616,9,7,8.356095979,D,Otro,3
827,H,46,10,1,10.23060037,N/D,JDM,4
831,H,38,9,10,10.24752614,N/D,JDM,4
465,M,60,10,9,9.904138593,D,JDM,4
469,M,62,10,8,9.861881411,D,Otro,4
480,H,28,9,8,10.01725113,D,Otro,4
491,H,36,4,8,11.72918812,N/D,Otro,4
800,H,75,7,5,10.7923089,A/B,Otro,4
803,M,41,8,7,10.82989241,A/B,JDM,4
613,M,99,7,5,6.077833084,N/D,JDM,3
616,H,24,9,9,6.08531832,N/D,Otro,3
885,H,65,10,5,12.39967688,D,JDM,4
768,H,29,7,8,11.14367389,D,Otro,4
880,M,67,9,9,12.53505245,N/D,RBC,4
881,M,32,8,8,12.59330474,N/D,JDM,4
553,M,35,10,8,4.883132081,C+,RBC,4
855,H,77,1,1,2.162764517,C-,JDM,3
856,M,49,10,8,2.167287366,D,JDM,3
707,H,68,10,5,4.261879745,D,JDM,6
705,H,28,7,1,4.378869189,D+,Otro,6
692,H,75,10,7,5.061541581,D,Otro,6
601,M,26,8,9,6.066779596,D,JDM,3
629,M,32,8,7,5.972587968,D,Otro,3
908,M,42,9,8,5.732619585,C,Otro,4
909,H,24,7,7,5.662782899,C,RBC,4
896,H,30,9,9,5.493995025,C-,Otro,4
906,M,25,7,9,5.539759003,A/B,Otro,4
570,M,57,8,8,6.422343493,A/B,Otro,4
642,M,32,9,10,5.375318422,D,RBC,6
654,H,50,8,7,5.188855948,C,RBC,6
718,H,22,10,1,4.709955731,D+,JDM,6
843,M,36,10,5,3.054433367,C-,JDM,3
839,H,54,9,5,3.081169106,C+,Otro,3
822,H,28,8,1,7.831819302,D,Otro,3
823,M,49,9,9,7.767190225,D,JDM,3
732,M,38,9,9,5.427762006,C,JDM,6
733,H,19,10,7,5.428939986,D+,JDM,6
495,M,51,1,10,6.818309634,C+,RBC,4
497,H,72,10,6,6.777533682,C+,JDM,4
555,H,69,10,8,6.753382791,C+,JDM,4
494,H,40,6,9,6.68525209,C+,RBC,4
557,H,47,4,10,6.611060147,C-,RBC,4
556,H,31,10,7,6.662717125,C+,JDM,4
559,H,78,7,10,6.591835098,C+,RBC,4
511,M,19,10,9,6.368111618,A/B,RBC,4
524,H,49,8,4,6.652110175,A/B,Otro,6
526,H,40,10,8,6.680299707,A/B,Otro,6
527,H,53,10,5,6.689929668,A/B,Otro,6
489,M,35,8,9,7.778297896,D,Otro,4
522,H,39,6,9,7.701686277,D,RBC,4
922,H,59,9,9,6.348643232,D,JDM,3
461,H,47,9,7,6.019410637,C-,JDM,6
457,M,56,3,3,5.838825729,C+,RBC,6
596,H,60,10,8,5.359646097,C,JDM,6
604,M,35,8,8,5.378842743,C,RBC,6
602,M,49,10,10,5.397975013,A/B,JDM,6
612,M,64,10,7,5.506404635,C,JDM,6
595,M,55,10,5,5.290084561,C+,JDM,6
625,M,53,6,9,5.286800146,C,RBC,6
608,M,38,8,4,5.424293322,A/B,Otro,6
623,M,45,5,5,5.315963501,C-,JDM,6
624,H,24,6,4,5.315963501,C-,JDM,6
488,M,53,1,8,6.299060078,A/B,RBC,4
454,M,35,9,8,4.916960997,D,JDM,6
728,M,40,8,8,5.420784519,C,RBC,6
754,M,30,8,8,6.122253414,D,JDM,3
759,M,62,8,7,6.104449035,D,Otro,3
756,M,34,10,8,6.318279107,D,RBC,3
763,H,44,8,7,6.167833577,D,Otro,3
764,H,18,10,7,6.173340539,D,Otro,3
668,M,48,5,8,11.82170153,A/B,RBC,4
666,M,57,1,1,11.82583355,A/B,Otro,4
677,M,70,8,8,11.78830119,C,Otro,4
539,M,38,9,9,9.929541104,D+,JDM,4
550,H,29,10,7,9.747555954,D,Otro,4
563,H,62,10,10,9.206885055,C,Otro,4
576,H,65,10,9,8.139671377,C+,RBC,4
586,M,45,7,7,7.253898964,C+,Otro,4
782,H,33,8,7.240990991,8.211291521,D,Otro,3
779,M,50,10,5,8.2615489,D,Otro,3
783,M,52,8,8,8.282503645,D,JDM,3
784,M,66,10,8,8.290861788,D,Otro,3
766,H,30,8,7,8.31797525,D,JDM,3
910,M,23,8,9,7.807689348,D,RBC,3
911,M,68,10,1,7.82958663,D,Otro,3
